iter	Passed	Remaining
424	2261	3059
425	2266	3054
426	2271	3048
427	2276	3042
428	2281	3036
429	2285	3029
430	2289	3022
431	2293	3015
432	2298	3009
433	2303	3003
434	2308	2998
435	2313	2992
436	2318	2986
437	2322	2980
438	2327	2974
439	2332	2968
440	2337	2962
441	2341	2956
442	2346	2950
443	2350	2944
444	2355	2938
445	2360	2932
446	2365	2926
447	2369	2919
448	2373	2912
449	2378	2906
450	2382	2900
451	2387	2894
452	2392	2888
453	2397	2883
454	2402	2877
455	2406	2871
456	2411	2864
457	2415	2858
458	2419	2852
459	2424	2845
460	2428	2839
461	2432	2833
462	2437	2826
463	2442	2821
464	2446	2815
465	2451	2808
466	2456	2803
467	2460	2796
468	2465	2791
469	2469	2785
470	2474	2779
471	2479	2773
472	2484	2768
473	2489	2762
474	2493	2756
475	2499	2751
476	2504	2745
477	2508	2739
478	2514	2734
479	2519	2729
480	2524	2723
481	2529	2717
482	2533	2712
483	2538	2706
484	2543	2700
485	2548	2695
486	2553	2689
487	2557	2683
488	2562	2678
489	2567	2672
490	2571	2666
491	2576	2660
492	2581	2654
493	2586	2649
494	2591	2643
495	2595	2637
496	2600	2631
497	2604	2625
498	2609	2619
499	2614	2614
500	2619	2608
501	2624	2603
502	2629	2597
503	2634	2592
504	2638	2586
505	2643	2580
506	2648	2575
507	2653	2569
508	2657	2563
509	2662	2557
510	2666	2552
511	2671	2546
512	2677	2541
513	2681	2535
514	2686	2530
515	2691	2524
516	2696	2518
517	2700	2513
518	2705	2507
519	2710	2501
520	2714	2495
521	2719	2490
522	2723	2484
523	2728	2478
524	2732	2472
525	2737	2466
526	2742	2461
527	2746	2455
528	2751	2449
529	2756	2444
530	2760	2438
531	2765	2433
532	2770	2427
533	2775	2421
534	2779	2416
535	2784	2410
536	2788	2404
537	2793	2399
538	2798	2393
539	2803	2388
540	2809	2383
541	2814	2378
542	2819	2372
543	2823	2366
544	2828	2361
545	2833	2355
546	2837	2350
547	2842	2344
548	2847	2338
549	2851	2333
550	2856	2327
551	2861	2322
552	2866	2316
553	2870	2311
554	2875	2305
555	2880	2299
556	2884	2294
557	2889	2288
558	2894	2283
559	2899	2278
560	2904	2272
561	2909	2267
562	2913	2261
563	2918	2256
564	2923	2250
565	2927	2244
566	2932	2239
567	2936	2233
568	2940	2227
569	2945	2221
570	2949	2216
571	2954	2210
572	2958	2204
573	2963	2199
574	2968	2193
575	2972	2188
576	2976	2182
577	2981	2176
578	2985	2171
579	2990	2165
580	2995	2160
581	2999	2154
582	3004	2149
583	3009	2143
584	3013	2137
585	3018	2132
586	3022	2126
587	3026	2120
588	3031	2115
589	3036	2109
590	3040	2103
591	3045	2098
592	3049	2092
593	3053	2087
594	3057	2081
595	3062	2076
596	3067	2070
597	3072	2065
598	3077	2059
599	3081	2054
600	3085	2048
601	3090	2043
602	3094	2037
603	3099	2032
604	3103	2026
605	3107	2020
606	3111	2014
607	3116	2009
608	3120	2003
609	3125	1998
610	3129	1992
611	3133	1986
612	3137	1980
613	3142	1975
614	3146	1969
615	3151	1964
616	3155	1959
617	3160	1953
618	3164	1947
619	3168	1942
620	3173	1936
621	3178	1931
622	3182	1926
623	3187	1920
624	3192	1915
625	3196	1909
626	3200	1903
627	3204	1898
628	3209	1893
629	3214	1887
630	3218	1882
631	3223	1877
632	3228	1871
633	3233	1866
634	3237	1861
635	3242	1855
636	3245	1849
637	3250	1844
638	3254	1838
639	3259	1833
640	3263	1827
641	3268	1822
642	3272	1816
643	3277	1811
644	3281	1806
645	3286	1800
646	3290	1795
647	3294	1789
648	3299	1784
649	3304	1779
650	3309	1774
651	3313	1768
652	3319	1763
653	3323	1758
654	3326	1752
655	3331	1746
656	3335	1741
657	3340	1736
658	3344	1730
659	3348	1724
660	3352	1719
661	3356	1713
662	3361	1708
663	3365	1702
664	3369	1697
665	3373	1691
666	3377	1686
667	3382	1680
668	3386	1675
669	3391	1670
670	3395	1664
671	3399	1659
672	3403	1653
673	3407	1648
674	3412	1643
675	3416	1637
676	3420	1632
677	3424	1626
678	3429	1621
679	3433	1615
680	3437	1610
681	3441	1604
682	3445	1599
683	3450	1593
684	3454	1588
685	3458	1582
686	3462	1577
687	3466	1572
688	3471	1566
689	3475	1561
690	3480	1556
691	3485	1551
692	3489	1546
693	3493	1540
694	3499	1535
695	3504	1530
696	3508	1525
697	3513	1520
698	3518	1514
699	3522	1509
700	3526	1504
701	3530	1498
702	3534	1493
703	3539	1488
704	3544	1482
705	3548	1477
706	3552	1472
707	3557	1467
708	3561	1461
709	3566	1456
710	3570	1451
711	3574	1445
712	3578	1440
713	3583	1435
714	3587	1429
715	3591	1424
716	3595	1419
717	3599	1413
718	3603	1408
719	3607	1402
720	3611	1397
721	3615	1392
722	3619	1386
723	3623	1381
724	3627	1375
725	3631	1370
726	3635	1365
727	3639	1359
728	3643	1354
729	3647	1349
730	3651	1343
731	3655	1338
732	3659	1332
733	3663	1327
734	3667	1322
735	3671	1316
736	3675	1311
737	3680	1306
738	3684	1301
739	3688	1295
740	3692	1290
741	3696	1285
742	3700	1280
743	3704	1274
744	3708	1269
745	3712	1264
746	3716	1258
747	3720	1253
748	3724	1248
749	3728	1242
750	3732	1237
751	3736	1232
752	3740	1227
753	3744	1221
754	3748	1216
755	3753	1211
756	3757	1206
757	3761	1200
758	3765	1195
759	3769	1190
760	3773	1185
761	3777	1179
762	3781	1174
763	3785	1169
764	3789	1164
765	3794	1159
766	3798	1153
767	3802	1148
768	3806	1143
769	3810	1138
770	3814	1133
771	3818	1127
772	3822	1122
773	3827	1117
774	3830	1112
775	3835	1107
776	3839	1101
777	3843	1096
778	3848	1091
779	3852	1086
780	3856	1081
781	3861	1076
782	3865	1071
783	3869	1066
784	3873	1060
785	3878	1056
786	3884	1051
787	3888	1046
788	3893	1041
789	3897	1036
790	3901	1030
791	3905	1025
792	3909	1020
793	3913	1015
794	3917	1010
795	3922	1005
796	3926	1000
797	3930	994
798	3934	989
799	3938	984
800	3943	979
801	3946	974
802	3951	969
803	3954	964
804	3959	959
805	3963	953
806	3967	948
807	3971	943
808	3975	938
809	3979	933
810	3983	928
811	3987	923
812	3991	918
813	3995	912
814	3999	907
815	4003	902
816	4007	897
817	4011	892
818	4015	887
819	4019	882
820	4024	877
821	4028	872
822	4032	867
823	4036	862
824	4040	857
825	4045	852
826	4049	847
827	4054	842
828	4058	837
829	4062	832
830	4066	826
831	4070	821
832	4074	816
833	4078	811
834	4083	806
835	4087	801
836	4091	796
837	4095	791
838	4099	786
839	4103	781
840	4107	776
841	4111	771
842	4115	766
843	4119	761
844	4123	756
845	4127	751
846	4131	746
847	4135	741
848	4139	736
849	4143	731
850	4147	726
851	4151	721
852	4155	716
853	4159	711
854	4163	706
855	4167	701
856	4171	696
857	4175	691
858	4179	686
859	4183	681
860	4188	676
861	4193	671
862	4198	666
863	4202	661
864	4206	656
865	4210	651
866	4214	646
867	4217	641
868	4221	636
869	4226	631
870	4231	626
871	4235	621
872	4239	616
873	4244	611
874	4248	606
875	4253	602
876	4257	597
877	4262	592
878	4267	587
879	4272	582
880	4276	577
881	4279	572
882	4283	567
883	4287	562
884	4291	557
885	4295	552
886	4299	547
887	4304	542
888	4308	537
889	4312	532
890	4315	527
891	4319	523
892	4323	518
893	4328	513
894	4331	508
895	4336	503
896	4340	498
897	4344	493
898	4348	488
899	4351	483
900	4355	478
901	4359	473
902	4363	468
903	4367	463
904	4372	459
905	4377	454
906	4381	449
907	4386	444
908	4390	439
909	4394	434
910	4398	429
911	4402	424
912	4406	419
913	4409	414
914	4413	410
915	4417	405
916	4421	400
917	4425	395
918	4429	390
919	4433	385
920	4437	380
921	4441	375
922	4446	370
923	4451	366
924	4454	361
925	4458	356
926	4462	351
927	4466	346
928	4470	341
929	4474	336
930	4478	331
931	4482	327
932	4487	322
933	4491	317
934	4495	312
935	4499	307
936	4503	302
937	4507	297
938	4511	293
939	4515	288
940	4520	283
941	4524	278
942	4528	273
943	4532	268
944	4536	264
945	4541	259
946	4545	254
947	4549	249
948	4553	244
949	4557	239
950	4563	235
951	4567	230
952	4571	225
953	4575	220
954	4579	215
955	4582	210
956	4587	206
957	4591	201
958	4595	196
959	4599	191
960	4603	186
961	4607	181
962	4611	177
963	4615	172
964	4619	167
965	4623	162
966	4627	157
967	4631	153
968	4635	148
969	4639	143
970	4643	138
971	4646	133
972	4650	129
973	4654	124
974	4658	119
975	4662	114
976	4667	109
977	4671	105
978	4674	100
979	4679	95
980	4683	90
981	4687	85
982	4691	81
983	4695	76
984	4699	71
985	4703	66
986	4707	62
987	4711	57
988	4715	52
989	4719	47
990	4722	42
991	4726	38
992	4731	33
993	4735	28
994	4739	23
995	4743	19
996	4747	14
997	4751	9
998	4756	4
999	4760	0
