iter	Logloss
0	0.6370350565
1	0.5955638661
2	0.557163214
3	0.5038953542
4	0.4652524716
5	0.4335529908
6	0.4095397871
7	0.3735015502
8	0.3425515411
9	0.3251006971
10	0.3104121643
11	0.295894195
12	0.2735951394
13	0.2629937952
14	0.2513011493
15	0.2366412088
16	0.2238055982
17	0.2080833034
18	0.1975093634
19	0.1866193038
20	0.1766277333
21	0.170574495
22	0.1654533342
23	0.1587429283
24	0.1509648566
25	0.1423389768
26	0.1348295571
27	0.1282710633
28	0.1246880306
29	0.1182562485
30	0.1122446697
31	0.1067552594
32	0.102411263
33	0.09794169519
34	0.09259390388
35	0.09022195701
36	0.08758417206
37	0.08605338031
38	0.08262976774
39	0.08154048838
40	0.07922941719
41	0.07699650991
42	0.07518034077
43	0.07409714154
44	0.07113949667
45	0.06932815028
46	0.06732368901
47	0.0664801244
48	0.06500913838
49	0.06367708979
50	0.0613937679
51	0.06028644482
52	0.05913668995
53	0.05857676567
54	0.05738122101
55	0.05634092026
56	0.05499872886
57	0.05411128713
58	0.05332291786
59	0.05257077422
60	0.05189978093
61	0.05137473588
62	0.05071409279
63	0.05002148852
64	0.04946299724
65	0.04891399215
66	0.04834756722
67	0.04789064712
68	0.04729677772
69	0.04679124174
70	0.0462997143
71	0.04585561849
72	0.04555960653
73	0.04514196083
74	0.04479307699
75	0.04438571127
76	0.04307818877
77	0.04267660152
78	0.04227692493
79	0.04181462857
80	0.04133262244
81	0.0410017137
82	0.0406545684
83	0.04024617983
84	0.03990232107
85	0.03964238602
86	0.03933572569
87	0.03902231856
88	0.03798762941
89	0.03768636789
90	0.03742177985
91	0.03712159747
92	0.03681169368
93	0.03661493273
94	0.03637336539
95	0.03608245009
96	0.03579831794
97	0.03555654217
98	0.03533716126
99	0.0349505663
100	0.03471204177
101	0.03448679562
102	0.03434654816
103	0.03391933711
104	0.03374458889
105	0.03351939497
106	0.03317931708
107	0.03301898087
108	0.03276166936
109	0.03253158245
110	0.03232081757
111	0.03184020601
112	0.03169695711
113	0.03148438034
114	0.03131099153
115	0.03102487896
116	0.03080908241
117	0.03064343879
118	0.03050383318
119	0.03025466762
120	0.02996892789
121	0.02977542732
122	0.02965873613
123	0.02912754708
124	0.02889842615
125	0.02865562718
126	0.02843825627
127	0.02828869142
128	0.02813686435
129	0.02790487325
130	0.02779202909
131	0.02723029341
132	0.02672554246
133	0.02658534133
134	0.02647418106
135	0.02628657641
136	0.02617006746
137	0.02602448343
138	0.02592417929
139	0.02577272804
140	0.02569802166
141	0.02559835703
142	0.02544078776
143	0.02528470568
144	0.02517928909
145	0.0247595281
146	0.02467705228
147	0.02456828131
148	0.02438074812
149	0.02428334057
150	0.02415061175
151	0.02405903262
152	0.02390024519
153	0.02380494382
154	0.02365853323
155	0.02338470609
156	0.02327058723
157	0.02317339859
158	0.02304350295
159	0.02267784521
160	0.02260917781
161	0.02249924167
162	0.02241672606
163	0.02230848159
164	0.02223935528
165	0.02204578856
166	0.0219605164
